2025-06-12 20:45:48,714 INFO    StreamThr :31582 [internal.py:wandb_internal():87] W&B internal server running at pid: 31582, started at: 2025-06-12 20:45:48.713966
2025-06-12 20:45:48,717 DEBUG   HandlerThread:31582 [handler.py:handle_request():144] handle_request: status
2025-06-12 20:45:48,718 INFO    WriterThread:31582 [datastore.py:open_for_write():85] open: /home/trudes/Projects/t-prime/wandb/run-20250612_204548-kfxjsz7k/run-kfxjsz7k.wandb
2025-06-12 20:45:48,719 DEBUG   SenderThread:31582 [sender.py:send():336] send: header
2025-06-12 20:45:48,734 DEBUG   SenderThread:31582 [sender.py:send():336] send: run
2025-06-12 20:45:49,093 DEBUG   HandlerThread:31582 [handler.py:handle_request():144] handle_request: check_version
2025-06-12 20:45:49,094 INFO    SenderThread:31582 [dir_watcher.py:__init__():216] watching files in: /home/trudes/Projects/t-prime/wandb/run-20250612_204548-kfxjsz7k/files
2025-06-12 20:45:49,094 INFO    SenderThread:31582 [sender.py:_start_run_threads():1067] run started: kfxjsz7k with start time 1749775548.713255
2025-06-12 20:45:49,094 DEBUG   SenderThread:31582 [sender.py:send_request():363] send_request: summary_record
2025-06-12 20:45:49,094 INFO    SenderThread:31582 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2025-06-12 20:45:49,094 DEBUG   SenderThread:31582 [sender.py:send_request():363] send_request: check_version
2025-06-12 20:45:49,270 DEBUG   HandlerThread:31582 [handler.py:handle_request():144] handle_request: run_start
2025-06-12 20:45:49,321 DEBUG   HandlerThread:31582 [system_info.py:__init__():31] System info init
2025-06-12 20:45:49,321 DEBUG   HandlerThread:31582 [system_info.py:__init__():46] System info init done
2025-06-12 20:45:49,321 INFO    HandlerThread:31582 [system_monitor.py:start():151] Starting system monitor
2025-06-12 20:45:49,321 INFO    SystemMonitor:31582 [system_monitor.py:_start():116] Starting system asset monitoring threads
2025-06-12 20:45:49,321 INFO    HandlerThread:31582 [system_monitor.py:probe():172] Collecting system info
2025-06-12 20:45:49,322 INFO    SystemMonitor:31582 [interfaces.py:start():168] Started cpu
2025-06-12 20:45:49,322 INFO    SystemMonitor:31582 [interfaces.py:start():168] Started disk
2025-06-12 20:45:49,322 INFO    SystemMonitor:31582 [interfaces.py:start():168] Started gpu
2025-06-12 20:45:49,323 INFO    SystemMonitor:31582 [interfaces.py:start():168] Started memory
2025-06-12 20:45:49,323 INFO    SystemMonitor:31582 [interfaces.py:start():168] Started network
2025-06-12 20:45:49,337 DEBUG   HandlerThread:31582 [system_info.py:probe():195] Probing system
2025-06-12 20:45:49,376 DEBUG   HandlerThread:31582 [system_info.py:_probe_git():180] Probing git
2025-06-12 20:45:49,385 DEBUG   HandlerThread:31582 [system_info.py:_probe_git():188] Probing git done
2025-06-12 20:45:49,386 DEBUG   HandlerThread:31582 [system_info.py:probe():241] Probing system done
