2025-06-12 18:25:19,701 INFO    StreamThr :2777 [internal.py:wandb_internal():87] W&B internal server running at pid: 2777, started at: 2025-06-12 18:25:19.701493
2025-06-12 18:25:19,704 DEBUG   HandlerThread:2777 [handler.py:handle_request():144] handle_request: status
2025-06-12 18:25:19,704 INFO    WriterThread:2777 [datastore.py:open_for_write():85] open: /home/trudes/Projects/t-prime/wandb/run-20250612_182519-lvklfjf2/run-lvklfjf2.wandb
2025-06-12 18:25:19,705 DEBUG   SenderThread:2777 [sender.py:send():336] send: header
2025-06-12 18:25:19,714 DEBUG   SenderThread:2777 [sender.py:send():336] send: run
2025-06-12 18:25:20,078 DEBUG   HandlerThread:2777 [handler.py:handle_request():144] handle_request: check_version
2025-06-12 18:25:20,079 INFO    SenderThread:2777 [dir_watcher.py:__init__():216] watching files in: /home/trudes/Projects/t-prime/wandb/run-20250612_182519-lvklfjf2/files
2025-06-12 18:25:20,079 INFO    SenderThread:2777 [sender.py:_start_run_threads():1067] run started: lvklfjf2 with start time 1749767119.699794
2025-06-12 18:25:20,080 DEBUG   SenderThread:2777 [sender.py:send_request():363] send_request: summary_record
2025-06-12 18:25:20,080 INFO    SenderThread:2777 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2025-06-12 18:25:20,080 DEBUG   SenderThread:2777 [sender.py:send_request():363] send_request: check_version
2025-06-12 18:25:20,203 DEBUG   HandlerThread:2777 [handler.py:handle_request():144] handle_request: run_start
2025-06-12 18:25:20,240 DEBUG   HandlerThread:2777 [system_info.py:__init__():31] System info init
2025-06-12 18:25:20,240 DEBUG   HandlerThread:2777 [system_info.py:__init__():46] System info init done
2025-06-12 18:25:20,240 INFO    HandlerThread:2777 [system_monitor.py:start():151] Starting system monitor
2025-06-12 18:25:20,240 INFO    SystemMonitor:2777 [system_monitor.py:_start():116] Starting system asset monitoring threads
2025-06-12 18:25:20,240 INFO    HandlerThread:2777 [system_monitor.py:probe():172] Collecting system info
2025-06-12 18:25:20,241 INFO    SystemMonitor:2777 [interfaces.py:start():168] Started cpu
2025-06-12 18:25:20,242 INFO    SystemMonitor:2777 [interfaces.py:start():168] Started disk
2025-06-12 18:25:20,243 INFO    SystemMonitor:2777 [interfaces.py:start():168] Started gpu
2025-06-12 18:25:20,244 INFO    SystemMonitor:2777 [interfaces.py:start():168] Started memory
2025-06-12 18:25:20,244 INFO    SystemMonitor:2777 [interfaces.py:start():168] Started network
2025-06-12 18:25:20,255 DEBUG   HandlerThread:2777 [system_info.py:probe():195] Probing system
2025-06-12 18:25:20,281 DEBUG   HandlerThread:2777 [system_info.py:_probe_git():180] Probing git
2025-06-12 18:25:20,288 DEBUG   HandlerThread:2777 [system_info.py:_probe_git():188] Probing git done
2025-06-12 18:25:20,288 DEBUG   HandlerThread:2777 [system_info.py:probe():241] Probing system done
